timestamp_ms,aX,aY,aZ,gX,gY,gZ,label
1037623,-4.101,2.116,8.679,-0.152,0.06,0.076,zone2
1037818,-4.197,1.918,8.732,-0.144,0.085,0.015,zone2
1038022,-4.334,2.361,8.581,-0.092,0.143,0,zone2
1038222,-5.042,1.724,8.363,-0.03,0.155,-0.218,zone2
1038419,-5.009,1.717,8.25,0.035,-0.007,-0.091,zone2
1038621,-4.666,2.059,8.42,0.016,0.007,0.009,zone2
1038813,-5.986,2.502,8.674,-0.546,0.057,0.127,zone2
1039007,-4.482,2.763,8.021,-0.206,-0.149,-0.514,zone2
1039203,-4.901,0.67,7.858,-0.236,0.128,0.467,zone2
1039387,-4.709,0.211,9.048,-0.372,0.137,1.251,zone2
1039578,-4.887,0.96,7.934,-0.583,0.511,1.149,zone2
1039778,-5.77,1.264,7.822,-0.432,0.089,0.773,zone2
1039975,-5.653,3.812,8.107,-0.719,-0.252,1.528,zone2
1040167,-4.657,2.895,8.085,-0.221,-0.233,-0.069,zone2
1040353,-5.136,3.17,6.275,0.188,0.028,-1.125,zone2
1040537,-7.142,-0.388,9.469,0.965,0.209,-2.299,zone2
1040735,-5.921,0.247,8.133,0.876,-0.378,-1.26,zone2
1040948,-5.124,0.271,8.571,0.463,-0.493,-0.612,zone2
1041148,-4.748,0.675,8.475,0.297,-0.249,-0.63,zone2
1041350,-4.049,1.47,8.48,0.259,-0.134,-0.212,zone2
1041545,-4.604,3.177,8.667,0.079,0.11,0.09,zone2
1041742,-4.752,3.081,9.021,-0.079,-0.074,-0.126,zone2
1041938,-4.132,1.319,8.473,-0.311,-0.066,0.139,zone2
1042143,-4.393,1.056,8.521,-0.205,-0.126,0.042,zone2
1042338,-4.175,0.637,8.89,-0.368,-0.078,0.253,zone2
1042540,-3.888,0.572,8.854,-0.121,-0.065,-0.031,zone2
1050219,-4.336,1.262,8.638,0.332,-0.211,-0.626,zone2
1050417,-3.136,1.798,9.084,0.079,-0.075,-0.943,zone2
1050617,-3.014,2.339,8.76,-0.014,-0.005,-0.106,zone2
1050818,-4.396,1.046,10.161,-0.663,-0.168,-0.19,zone2
1051019,-5.389,-0.426,9.234,0.024,0.049,-0.127,zone2
1051221,-4.583,-0.393,8.636,0.064,-0.033,0.047,zone2
1051422,-3.488,1.154,8.978,0.061,0.09,0.243,zone2
1051622,-4.032,3.381,8.459,0.412,0.114,0.438,zone2
1051819,-4.02,3.381,8.768,-0.217,-0.1,0.176,zone2
1052012,-3.366,2.739,8.99,-0.313,-0.114,0.035,zone2
1052202,-3.768,1.817,8.976,-0.416,0.181,0.391,zone2
1052397,-3.938,1.188,8.475,-0.17,0.148,0.165,zone2
1052600,-3.903,0.596,9.278,-0.196,0.008,0.159,zone2
1052797,-4.015,0.879,9.019,-0.307,-0.072,0.413,zone2
1056921,-3.462,1.499,9.11,-0.171,-0.087,0.263,zone2
1057111,-3.314,1.827,9.304,-0.093,-0.114,0.229,zone2
1057314,-2.818,2.43,8.909,-0.103,0.195,0.079,zone2
1057512,-3.041,2.282,9.21,-0.818,0.391,0.976,zone2
1057712,-5.804,-0.256,9.337,-0.799,0.412,1.155,zone2
1057916,-5.066,-0.146,8.308,-0.868,0.252,1.529,zone2
1058111,-3.321,2.856,9.716,-0.742,0.314,1.502,zone2
1058312,-2.753,2.097,10.319,-0.978,0.209,1.478,zone2
1058519,-4.86,1.094,7.47,-0.949,0.206,0.989,zone2
1058717,-4.688,0.869,7.973,-0.657,0.377,1.003,zone2
1058919,-5.509,0.448,8.107,-0.84,0.221,0.929,zone2
1059112,-5.578,0.912,7.831,-0.526,0.08,0.398,zone2
1059306,-4.831,0.548,8.31,0.091,-0.21,-0.201,zone2
1059503,-4.137,0.335,8.863,-0.109,-0.161,-0.039,zone2
1059702,-4.439,-0.105,9.033,-0.182,-0.079,0.186,zone2
1059901,-4.276,0.144,8.966,-0.059,-0.056,-0.056,zone2
1060087,-4.025,0.268,8.99,0.109,-0.178,-0.35,zone2
1060881,-5.116,0.608,8.77,0.808,-0.4,-1.677,zone2
1061077,-4.286,0.235,8.712,0.652,-0.453,-1.52,zone2
1061277,-4.331,0.306,9.084,0.601,-0.053,-0.928,zone2
1061476,-4.566,1.554,8.801,0.196,0.057,-0.278,zone2
1064174,-4.951,1.683,8.351,-0.053,-0.023,-0.032,zone2
1064367,-4.745,1.659,8.425,-0.107,-0.043,0.041,zone2
1064566,-4.334,1.583,8.722,-0.29,-0.022,0.81,zone2
1064761,-3.654,2.318,8.815,-0.636,0.267,1.555,zone2
1064955,-3.953,4.848,8.918,-0.713,0.681,1.462,zone2
1065145,-5.246,4.594,9.701,-0.426,0.23,0.001,zone2
